=== EXPERIMENT 15 STARTED AT 2026-01-13 10:51:54.015679 ===
Population size: 50
Data file: /home/bazzo/Scrivania/fjsp_rescheduling/results_scheduling/schedule_simulation_15.pkl
--------------------------------------------------------------------------------

Jobs: 10
Machines: 7
Ops per job: [3, 2, 3, 3, 3, 3, 3, 3, 3, 3]
Starting NSGA-II.
Population: 50
Crossover rate: 0.8, Mutation rate: 0.1
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |       50 |      3 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      100 |      5 |  0.000000E+00 |  0.000000E+00 |  0.6666666667 |         ideal
     3 |      150 |      5 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
     4 |      200 |      5 |  0.000000E+00 |  0.000000E+00 |  0.1658444914 |         ideal
     5 |      250 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1176470588 |         ideal
     6 |      300 |      6 |  0.000000E+00 |  0.000000E+00 |  0.0909090909 |         ideal
     7 |      350 |     10 |  0.000000E+00 |  0.000000E+00 |  0.3750000000 |         ideal
     8 |      400 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1533156499 |         ideal
     9 |      450 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1981202078 |         ideal
    10 |      500 |      3 |  0.000000E+00 |  0.000000E+00 |  0.3333333333 |         ideal
    11 |      550 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2727272727 |         nadir
    12 |      600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2500000000 |         ideal
    13 |      650 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    14 |      700 |      5 |  0.000000E+00 |  0.000000E+00 |  0.2000000000 |         ideal
    15 |      750 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    16 |      800 |      5 |  0.000000E+00 |  0.000000E+00 |  0.4887005650 |         ideal
    17 |      850 |      4 |  0.000000E+00 |  0.000000E+00 |  0.3475609756 |         ideal
    18 |      900 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1779448622 |         ideal
    19 |      950 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1250000000 |         nadir
    20 |     1000 |      3 |  0.000000E+00 |  0.000000E+00 |  0.5000000000 |         ideal
    21 |     1050 |      7 |  0.000000E+00 |  0.000000E+00 |  0.4176520131 |             f
    22 |     1100 |      3 |  0.000000E+00 |  0.000000E+00 |  0.5000000000 |         ideal
    23 |     1150 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2500000000 |         ideal
    24 |     1200 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0535243490 |             f
    25 |     1250 |      4 |  0.000000E+00 |  0.000000E+00 |  0.0769230769 |         ideal
